relative_path,filename,extension,size_bytes,sha256,row_count,columns_or_keys,label_distribution,has_claims,has_evidence,has_predictions,category
.DS_Store,.DS_Store,,10244,4b38d9c20077cd7b8b789ed2a8865c63db3968329b9ca779b3596248cfd38f2c,,,,N/A,N/A,N/A,UNKNOWN
B1_GEMMA4_CHAMPION_BACKUP.zip,B1_GEMMA4_CHAMPION_BACKUP.zip,.zip,140159227,5bb94994e94ba86ec9877cb05cf4a9078c4b28534b8be8434901e77450e7514d,,,,N/A,N/A,N/A,UNKNOWN
B2_GEMMA4_SYNTH_CHALLENGER_BACKUP.zip,B2_GEMMA4_SYNTH_CHALLENGER_BACKUP.zip,.zip,140185105,9b2526a56cb9ec65eab74c38fb88e0c5d4d99d254a6ce6043d1c6ea22f95f105,,,,N/A,N/A,N/A,UNKNOWN
B3_GEMMA4_LR1E4_CHALLENGER_BACKUP.zip,B3_GEMMA4_LR1E4_CHALLENGER_BACKUP.zip,.zip,139965925,0b50bf706febfc6ca6b8cedfb441ce737483c12f36c7cfce906a653be76a2085,,,,N/A,N/A,N/A,UNKNOWN
D1_GEMMA4_12B_CHAMPION.zip,D1_GEMMA4_12B_CHAMPION.zip,.zip,126320760,2f5bcb28163a1e2c407cd5c3f29c4203a520d5213680a280aca43b4db300b361,,,,N/A,N/A,N/A,INTERMEDIATE_CHAMPION_PACKAGE (D1_GEMMA4_12B_CHAMPION.zip)
D4_FROZEN_HOLDOUT_V1_DO_NOT_TRAIN.jsonl,D4_FROZEN_HOLDOUT_V1_DO_NOT_TRAIN.jsonl,.jsonl,35105,61f41a537f738ecd153474565c1e22bb678c4f8a9dd096ed9eabfe5bddc2e1b2,75,"id, claim, evidence, label",SUPPORTS:25; REFUTES:25; NOT_ENOUGH_INFO:25,True,True,False,D. Model Evaluation / Stress Data (Frozen Holdout 75)
D4_GEMMA4_12B_CHAMPION.zip,D4_GEMMA4_12B_CHAMPION.zip,.zip,126572918,a6d0d10c266e96ee88122dd14afb13d132e487481a889905844ac2d9d7fc4fb2,,,,N/A,N/A,N/A,FINALIST_CHECKPOINT_PACKAGE (D4_GEMMA4_12B_CHAMPION.zip)
FINAL_GEMMA4_12B_ALL935_PLUS150.zip,FINAL_GEMMA4_12B_ALL935_PLUS150.zip,.zip,126620795,1528d012149d88858711fcb00e66039db171ba0f8dafdd1dc307b39249e964ad,,,,N/A,N/A,N/A,SELECTED_WINNING_CHECKPOINT_PACKAGE (FINAL_GEMMA4_12B_ALL935_PLUS150.zip)
FINAL_SUBMISSION_README.md,FINAL_SUBMISSION_README.md,.md,2124,11b1e3f35d164f10b83f8e1a2b3f90a02d1e6d0bd88a815b6d62b6e710c2ecb7,,,,N/A,N/A,N/A,Documentation / Report / Presentation
FINAL_TEST_READY_A1_A3.zip,FINAL_TEST_READY_A1_A3.zip,.zip,87847750,d4ab1e4af8070cd1b2f60460598502fc2cc4dc652449ffb1844e98f36d614560,,,,N/A,N/A,N/A,UNKNOWN
Gemma2_9B_FactCheck_Notebook (1).ipynb,Gemma2_9B_FactCheck_Notebook (1).ipynb,.ipynb,386302,29c3e6cbf5e73d8d49be885f592fabbee0d52ef936d9437f4cd4d5ace3bbeda2,,,,N/A,N/A,N/A,Jupyter Notebook
Gemma4_12B_FINAL_Frozen_Checkpoint_Submission.ipynb,Gemma4_12B_FINAL_Frozen_Checkpoint_Submission.ipynb,.ipynb,84053,95f38059136d87f5a9357df5e9fbf925705978feaf3afe8449afa107e6aa5fe1,,,,N/A,N/A,N/A,Jupyter Notebook
Gemma4_12B_FINAL_Submission_Exact_Recipe_Kaggle.ipynb,Gemma4_12B_FINAL_Submission_Exact_Recipe_Kaggle.ipynb,.ipynb,44882,04300b3586b17b115f5fdb4f76385b4a8806e4b12365c929e7330e21720e8a8c,,,,N/A,N/A,N/A,Jupyter Notebook
Gemma4_12B_Final_Submission_Kaggle.ipynb,Gemma4_12B_Final_Submission_Kaggle.ipynb,.ipynb,40399,4fc427e9ab0a62a2b62eb360875412e1e8ee75a4622795602b81c44b46204b50,,,,N/A,N/A,N/A,Jupyter Notebook
